Onesource Indus.,,good,,,,,,,,,,,,,,,,,
Starlineps Enter,,good,,,,,"Ltd is in the business of Precious Metals, Stones & Jewellery Trading",,,,,,,,,,,,
Franklin Indust.,,good,,,,,,,,,,,,,,,,,
Guj. Toolroom,,,,,,,,,,,,,,,,,,,
Spright Agro,,not good,,,,,,,,,,,,,,,,,
Harshil Agrotech,,not good,,,,,,,,,,,,,,,,,
Growington Vent,,good,,,,,,,,,,,,,,,,,
GACM Tech,,not good,,,,,,,,,,,,,,SCREENER FILTER,,,
Ashapuri Gold,,okay,,,,,,,,,,,,,,Current price < 10 AND,,,
Royal India Corp,,good,,,,,,,,,,,,,,Market Capitalization  > 100 AND,,,
,,,,,,,,,,,,,,,,Profit growth AND,,,
,,,,,,,,,,,,,,,,Sales growth >50% AND,,,
,,,,,,,,,,,,,,,,Return on capital employed > 10%,,,
